0,1,2,3
24,1493,474,286
24,2214,1663,395
35,2826,975,68
42,2495,796,315
42,1763,663,373
46,1828,275,68
46,3468,1432,416
68,279,539,116
102,2387,1840,102
102,1728,143,286
116,2578,1245,315
116,589,580,355
148,2242,7,102
174,368,895,35
183,1472,1038,116
204,1730,54,68
204,3486,367,360
225,377,220,398
225,578,519,363
292,636,97,42
315,679,730,68
315,1066,1829,68
319,2714,86,319
319,529,3426,444
329,1460,4026,444
330,593,310,225
355,411,535,174
355,1111,702,68
360,167,4312,187
360,1714,405,435
362,478,126,42
362,385,1081,395
363,289,1078,363
373,448,1300,24
373,132,806,355
395,154,2963,102
395,2768,3541,183
398,1222,816,35
398,200,44,363
416,181,1213,355
416,3224,420,360
435,1772,2363,24
435,1261,747,148
444,1536,1935,373
