0,1,2,3,4
24,1855,3795,519,362
24,1468,3563,1842,329
35,207,290,281,68
35,2714,367,524,35
42,4610,414,577,187
42,4436,602,820,102
46,170,2544,699,292
46,3680,4786,83,102
46,1885,175,875,292
68,3633,1380,456,416
68,3966,702,4065,68
68,2526,784,848,46
102,2244,2131,413,102
102,433,122,2,444
102,1547,838,3213,46
116,1561,4910,904,319
116,4326,351,1718,24
148,582,6,951,416
148,2555,27,3108,148
150,47,231,914,174
150,132,2888,2787,116
174,81,347,73,363
174,2343,2350,1588,355
183,585,1566,2618,395
183,781,989,1085,102
187,3932,1626,1251,355
204,19,808,1844,187
204,2398,1447,911,24
225,186,3983,3225,416
286,2469,4970,1281,416
286,865,209,4063,286
292,1075,979,2158,319
292,1040,1669,1598,24
292,4313,490,1372,46
315,274,613,1097,292
315,4137,1339,1512,315
315,2060,1779,101,24
319,152,2353,3379,187
329,2300,273,1141,42
329,2471,656,3705,416
329,1619,109,923,35
330,4404,310,3537,116
330,1303,584,1840,102
355,1507,704,289,363
360,1161,3055,231,363
360,5070,145,2814,150
360,3155,4,261,24
362,2528,73,774,319
362,519,1472,1161,42
362,549,2914,1307,204
363,589,371,3412,329
363,2178,720,1359,435
363,2041,3140,191,286
373,9,3939,51,68
395,105,3147,3505,116
395,4436,137,687,42
398,745,9,1546,42
398,4518,671,1809,24
416,912,264,588,225
416,3145,1535,2392,225
416,59,1688,164,416
435,152,59,1231,435
435,84,563,115,150
444,208,3959,401,42
444,4953,456,377,68
