0,1,2,3
0,174,196,753
1,42,1049,425
2,183,209,802
3,116,721,306
4,398,3924,1823
5,444,3952,1733
6,416,23,1861
7,292,1907,529
8,292,3642,241
9,174,653,1110
10,416,59,1698
11,292,179,83
12,416,2127,460
13,362,847,699
14,398,3870,1217
15,204,1216,792
16,35,1015,4718
17,435,4281,376
18,24,1756,525
19,150,1098,702
21,174,710,199
22,24,3857,229
23,444,1753,1414
25,360,4763,76
26,204,1428,4936
27,174,578,633
28,373,4746,294
29,116,2465,2013
30,363,427,352
31,35,1385,126
32,102,1547,1133
33,102,1717,756
34,292,2604,1407
36,116,5011,288
37,319,2467,93
38,35,12,2039
40,363,830,477
41,187,1585,405
43,355,567,960
44,319,1386,400
45,360,367,47
47,148,896,2683
48,116,4885,1200
49,68,1751,467
50,329,561,156
51,46,2055,870
52,319,786,4464
53,416,1446,1153
54,373,3548,1081
55,292,371,1540
56,187,1103,308
57,362,2141,4732
58,435,1957,1572
59,416,610,2746
60,102,1113,83
61,148,1359,250
62,444,557,4636
64,35,562,559
65,362,314,490
66,35,3770,2953
67,398,1373,3797
69,363,507,3631
70,319,596,1663
71,225,54,3707
72,292,346,447
73,150,2533,2203
74,330,4415,886
75,148,210,247
76,363,152,425
77,363,1121,4897
78,363,803,4163
79,225,184,4
80,416,720,136
81,174,53,2531
82,315,590,2249
83,102,784,576
84,42,1456,757
85,329,5136,1127
86,362,1714,1566
88,68,1897,754
89,360,179,1580
90,35,1309,2955
91,435,2015,86
92,330,1308,812
93,373,3161,4875
94,24,1165,159
95,225,171,890
97,42,649,525
98,355,333,65
99,225,1963,1682
100,416,698,2669
101,24,1165,3088
103,373,751,1158
104,102,832,609
105,395,1385,764
106,355,1359,2122
107,204,3911,1596
108,360,1990,2657
109,225,489,583
110,174,2351,533
111,150,656,1174
112,225,3912,0
114,68,99,513
115,373,917,3320
117,373,826,1038
118,42,888,2465
119,24,1313,868
120,42,518,1239
121,225,3912,1751
122,355,411,876
123,329,2881,562
124,225,5023,4220
125,102,104,1269
126,373,4266,298
127,42,2308,101
128,292,891,2904
129,116,331,1343
130,395,1385,2737
131,360,3003,861
132,187,841,388
133,102,2792,124
134,315,2329,3828
135,148,61,2569
136,42,1300,714
137,363,179,807
139,150,2867,4697
140,150,1011,797
141,204,1454,5126
142,363,76,1025
143,363,284,2165
144,46,2903,114
145,102,1085,3410
146,362,359,3187
147,435,1116,494
149,187,194,2419
151,225,109,2754
152,363,800,1202
153,315,1512,686
154,395,1323,16
155,360,525,2410
156,416,1880,3145
157,363,737,1184
158,187,704,3422
159,319,4075,3027
160,363,66,915
161,46,1911,2296
162,373,3057,3129
163,183,1579,4730
164,363,1691,2779
165,435,84,415
166,395,2658,2461
167,187,3348,39
168,148,4775,758
169,102,36,490
170,362,2132,101
171,225,95,5119
172,116,384,3254
175,363,841,420
176,204,2654,1635
177,102,1725,2951
178,102,141,2532
179,35,461,505
180,102,3410,67
181,204,508,2830
182,363,47,312
184,225,796,3989
185,416,1971,1734
186,68,95,124
188,329,3426,1786
189,435,2953,3092
190,35,64,3869
191,373,521,313
192,68,4493,1514
193,116,815,1433
194,150,746,2360
196,362,271,251
197,360,542,3224
198,35,411,2406
200,174,1866,542
201,355,1307,1083
202,395,1151,324
205,373,209,867
206,444,3426,2888
207,362,850,1662
208,362,4753,8
209,35,84,475
210,148,2845,2947
211,398,3244,508
212,360,3884,11
213,148,91,2484
214,363,715,1771
215,24,2445,2958
216,355,489,796
217,183,1258,2262
218,398,972,113
219,42,2874,414
220,398,1320,3010
221,174,601,1040
222,355,1100,933
223,42,447,2683
224,363,2998,737
226,329,4697,123
227,444,3426,1737
228,68,1981,4686
229,360,1297,2452
230,330,3583,1649
231,363,1103,322
232,395,1678,794
233,329,4404,124
234,225,184,303
235,225,4191,235
236,355,4794,96
237,174,653,3038
238,330,490,768
239,435,2004,469
240,204,1428,1391
241,150,788,2427
242,116,815,2837
243,150,2149,646
244,204,792,855
245,42,213,3077
246,435,3804,308
247,116,3999,1155
248,435,3747,1350
249,225,6,2620
250,330,3588,113
251,42,343,98
252,225,278,1518
253,362,3199,607
254,286,1648,3664
255,102,1444,2159
256,363,1598,344
257,373,3271,249
258,398,778,88
259,292,3140,1148
260,435,990,4145
261,24,2273,2777
262,362,1246,2408
263,362,1415,2134
264,360,3884,4896
265,35,3453,12
266,395,845,1208
267,24,970,1573
268,35,1446,410
269,102,858,2880
270,102,4791,600
271,286,1084,390
273,116,2626,2200
274,183,2156,3274
275,68,3033,862
276,225,1447,3707
277,319,1771,396
278,315,3543,2329
279,68,1262,1356
280,183,1155,2072
281,68,3888,5047
283,183,1590,209
284,363,12,520
285,174,2310,321
287,148,984,33
288,46,4082,3391
289,150,2558,536
290,68,1262,874
291,183,2160,2257
293,46,350,737
294,444,447,1307
295,444,754,936
297,416,939,4207
298,362,3523,2
299,444,1414,1884
300,360,160,4569
302,148,1431,1781
303,116,76,1460
304,373,77,3334
305,183,1258,4665
306,46,947,2342
307,373,2448,1048
308,148,248,158
309,360,1736,2711
310,102,2040,2933
311,35,2342,4320
312,46,693,3
313,395,3444,71
314,373,445,2792
316,225,2650,1931
317,102,885,3098
318,46,4468,3892
320,435,1225,333
321,373,1975,177
322,148,977,814
323,225,806,694
324,42,2273,4506
325,24,4423,1648
326,68,4073,3420
327,24,561,11
328,330,3966,489
331,35,2291,299
332,398,2030,88
333,42,392,1925
334,355,2845,5106
335,148,3437,666
336,329,4181,1415
338,68,685,1441
339,46,1298,3526
340,42,324,73
342,42,587,4975
343,42,1043,2610
344,435,4103,3097
345,286,28,226
346,35,1443,4756
347,329,4452,2373
349,395,3624,299
350,46,1202,282
351,116,2344,5011
352,329,1668,1470
353,204,2778,2812
354,355,3545,2055
356,395,2658,3855
357,187,420,2182
358,102,593,311
359,395,1314,975
361,46,1323,37
364,42,2453,308
365,398,530,1660
366,373,4266,3237
367,360,2495,2516
368,363,615,1074
369,35,120,934
370,444,946,3315
371,225,511,2708
372,362,65,1690
374,150,1297,182
375,102,1996,2443
376,187,4115,755
377,444,3799,12
378,398,1815,197
379,355,598,851
380,398,378,365
381,148,1412,109
382,174,2035,776
383,24,2890,1872
384,42,3105,1889
385,363,1519,2773
386,150,1099,1271
387,42,1886,199
388,329,18,2335
389,362,775,1657
390,24,1801,2153
392,42,662,208
394,46,1077,1987
396,360,14,321
397,174,914,409
399,42,1105,835
400,292,1659,285
401,416,8,3288
402,148,3742,199
404,24,3522,85
405,435,1957,2161
406,187,1727,2760
408,174,470,482
409,148,700,2178
410,373,126,4017
411,35,66,1217
412,187,132,248
413,102,2396,0
414,24,1422,1682
415,35,2190,127
417,35,236,128
418,292,759,901
420,187,2149,1466
421,102,26,2732
422,42,335,322
423,286,3329,5181
424,46,1202,1499
426,292,519,1157
427,363,12,1318
428,148,111,2835
429,148,3196,15
431,102,310,1024
432,46,2441,1889
433,102,3497,2598
434,319,635,4673
437,68,153,1310
438,24,3664,1653
439,435,1274,4124
440,435,2845,801
442,68,2977,6
443,204,606,436
445,373,103,126
446,373,651,1260
447,444,672,3537
448,150,1121,2413
449,225,1466,2015
450,187,56,2303
451,315,4135,3439
452,355,2991,1289
454,150,810,611
455,225,15,4750
456,416,164,2043
457,174,2,3243
458,355,650,897
459,187,4726,939
460,225,815,910
461,363,2041,41
462,148,1421,700
463,102,433,832
464,150,707,1370
465,174,27,3772
466,183,298,289
468,204,2337,3418
469,360,1176,1503
470,174,396,252
471,174,1160,2169
472,24,703,2640
473,42,851,115
474,373,804,523
475,363,800,2207
476,286,7,1449
477,46,4282,193
478,362,777,3919
479,174,2035,3418
480,319,2490,2310
481,225,460,636
482,355,2062,1101
483,46,477,114
484,102,2244,4583
485,183,1579,104
487,42,2,218
489,225,2119,369
490,330,51,2456
491,225,1699,2831
492,204,353,89
493,204,1307,1915
494,444,2817,18
495,68,1623,202
497,330,3119,114
498,24,22,1083
499,292,8,1274
500,225,16,2175
501,46,51,1762
502,102,5115,287
503,24,417,2048
505,42,1758,1
506,148,4433,554
507,174,715,2190
508,416,508,916
509,225,3334,238
511,225,184,1421
512,46,4495,633
513,174,712,471
514,116,4016,4086
515,315,1485,380
516,24,1400,534
