N1,A,N2
0,102,900
1,150,735
2,150,2881
3,116,775
5,102,1393
6,35,1595
7,102,288
9,174,4077
10,68,1392
11,24,2294
12,42,1917
13,24,2483
14,42,1910
16,150,1103
17,35,5028
18,35,1695
19,150,3423
21,174,1889
22,174,2630
25,24,4310
26,68,1395
27,174,513
29,116,3
30,148,4830
31,150,3482
32,102,330
33,116,129
36,116,1040
37,42,1693
38,150,1121
40,68,3356
41,116,589
43,42,1396
44,148,652
47,35,1748
48,116,172
49,46,161
51,68,442
53,174,2305
54,68,1077
58,148,140
59,148,335
60,102,434
61,148,2146
62,46,622
64,174,408
65,150,658
66,35,2656
67,150,67
70,42,1907
72,24,547
73,150,329
75,42,4539
76,116,240
77,148,1157
78,174,397
81,35,809
83,102,1392
84,150,1
88,68,682
90,174,857
91,46,1777
92,35,1242
93,46,2411
94,24,1081
95,102,1243
97,42,1910
99,68,3633
100,35,448
101,24,1071
104,102,3043
107,46,107
108,150,670
109,35,2929
110,42,807
111,150,152
112,24,457
114,46,2670
115,35,6
118,24,706
119,24,2027
120,42,440
121,116,2073
122,68,1618
124,68,1765
125,102,682
126,42,1004
127,42,3761
128,42,2221
129,116,1726
131,150,1099
132,35,84
133,46,750
135,148,997
136,42,1798
137,150,749
139,150,154
140,150,364
141,102,682
143,35,363
144,148,428
145,35,2382
147,42,1225
151,46,728
152,150,1914
153,68,596
154,35,2603
157,148,4339
158,150,223
159,42,5142
160,42,3336
161,174,4153
162,68,4231
164,35,3763
166,35,3789
168,148,660
169,102,858
170,116,942
171,148,44
172,68,1781
175,148,440
176,46,978
177,102,2366
178,102,445
179,150,448
180,102,4711
182,24,457
183,35,1772
184,46,394
186,68,1209
188,35,3775
190,35,2656
191,42,1
192,68,4405
193,102,107
194,35,2300
196,42,2714
198,42,482
200,148,3158
204,102,3638
207,35,692
208,174,653
209,35,4513
210,46,184
212,150,2814
213,42,1134
214,46,2407
215,24,2815
216,116,4016
217,24,417
219,42,1888
221,174,4693
223,42,440
