0,1,2
0,355,3447
0,355,4982
0,416,3056
1,42,245
1,416,213
1,35,179
2,183,781
2,183,390
2,362,352
3,416,3649
3,116,3555
3,398,2489
4,373,601
4,360,3334
4,225,1397
5,102,4793
5,373,1273
5,373,25
6,363,760
6,35,1903
6,174,1855
7,286,2058
7,102,2071
7,46,1623
8,373,162
8,416,1297
8,416,1018
9,24,713
9,319,725
9,174,429
10,416,1074
10,204,2125
10,416,1446
11,355,238
11,373,2078
11,42,3884
12,373,478
12,42,1101
12,373,1446
13,286,2469
13,435,246
13,360,92
14,373,166
14,373,601
14,42,1827
15,204,1419
15,225,229
15,204,1324
16,355,650
16,225,1397
16,225,6
17,373,366
17,35,1123
17,363,4019
18,35,3077
18,416,3054
18,24,1408
19,204,4695
19,398,2071
19,150,1749
21,174,700
21,355,2931
21,174,2343
22,148,137
22,24,327
22,35,2200
23,416,3483
23,329,2544
23,329,30
25,35,716
25,174,2349
25,174,285
26,46,1583
26,416,1297
26,102,2578
27,363,1707
27,174,1708
27,363,951
28,373,1657
28,187,1011
28,286,66
29,68,1366
29,68,2
29,42,1798
30,329,1386
30,329,3570
30,42,506
31,150,276
31,35,629
31,116,3537
32,398,1893
32,102,1050
32,398,2680
33,35,4653
33,116,1996
33,116,814
34,360,155
34,319,817
34,360,573
36,116,36
36,102,4377
36,116,3999
37,148,2124
37,360,859
37,319,904
38,435,3847
38,355,2940
38,35,153
40,68,1354
40,68,572
40,363,55
41,416,3224
41,150,753
41,150,2415
43,150,140
43,183,1927
43,329,2953
44,225,1850
44,148,1340
44,225,473
45,360,733
45,360,525
45,360,258
47,148,2203
47,363,426
47,360,2043
48,435,1065
48,373,423
48,286,858
49,204,3533
49,68,1829
49,68,2431
50,225,4381
50,225,112
50,373,4266
51,225,704
51,68,2068
51,102,1393
52,319,52
52,225,1941
52,319,4660
53,42,473
53,42,636
53,35,1242
54,225,656
54,225,1471
54,225,1729
55,319,840
55,292,699
55,225,6
56,187,4037
56,373,144
56,395,727
57,362,73
57,362,2693
57,362,262
58,360,247
58,360,442
58,360,160
59,150,2281
59,148,2274
59,416,2084
60,102,696
60,102,133
60,102,125
61,362,3505
61,148,1516
61,35,1194
62,46,1782
62,102,2071
62,102,352
64,35,1695
64,35,4735
64,225,679
65,187,2045
65,416,4614
65,416,4614
66,286,807
66,363,671
66,35,692
67,329,105
67,398,808
67,398,3484
69,363,77
69,363,3223
69,363,1277
70,435,2525
70,319,598
70,42,866
71,225,481
71,225,4185
71,225,2746
72,292,291
72,24,1199
72,24,4785
73,360,846
73,150,923
73,150,291
74,183,628
74,330,1192
74,183,1843
75,42,1
75,148,120
75,42,856
76,355,1307
76,363,2466
76,150,741
77,148,4429
77,148,1530
77,373,99
78,373,3271
78,363,1176
78,373,651
79,363,66
79,225,414
79,225,2746
80,416,574
80,355,2125
80,416,1918
81,68,3284
81,174,535
81,68,2
82,225,81
82,225,511
82,225,1963
83,68,3572
83,102,2549
83,102,680
84,42,1916
84,35,4051
84,435,2813
85,329,3426
85,329,448
85,329,2471
86,416,1329
86,319,2273
86,319,631
88,315,2231
88,315,2824
88,315,793
89,360,442
89,360,1137
89,360,250
90,174,2740
90,174,2614
90,174,2343
91,416,2084
91,435,167
91,416,307
92,360,190
92,360,671
92,360,110
93,373,1935
93,46,1706
93,286,1991
94,24,3904
94,360,206
94,360,84
95,330,1164
95,46,2520
95,225,378
97,42,1362
97,42,1362
97,42,523
98,355,76
98,435,1274
98,435,342
99,68,1228
99,373,2345
99,373,99
100,416,1297
100,416,1256
100,35,1315
101,24,4423
101,329,4697
101,329,3953
103,416,53
103,373,2223
103,373,1631
104,102,1120
104,102,4032
104,102,794
105,319,22
105,329,3895
105,435,2713
106,355,662
106,355,3347
106,355,2062
107,174,0
107,46,4206
107,204,2171
108,360,197
108,150,846
108,360,733
109,362,120
109,362,1151
109,35,2826
110,360,1165
110,42,251
110,42,1462
111,183,4822
111,148,428
111,183,3675
112,292,55
112,435,260
112,319,1098
114,68,2268
114,68,596
114,68,596
115,373,1250
115,363,1165
115,150,1299
117,187,4115
117,373,1099
117,373,440
118,292,2941
118,42,4489
118,292,574
119,24,3415
119,24,1233
119,24,654
120,35,3644
120,35,1315
120,362,1438
121,116,3486
121,360,13
121,360,1916
122,360,1714
122,355,1772
122,360,1297
123,363,357
123,363,1023
123,329,233
124,68,1985
124,102,818
124,225,897
125,102,2244
125,116,1261
125,102,334
126,373,707
126,395,3045
126,362,1415
127,355,1787
127,42,3884
127,42,1124
128,292,2807
128,42,856
128,42,851
129,116,1410
129,116,878
129,116,1755
130,395,2206
130,363,461
130,363,179
131,150,110
131,416,1281
131,360,3943
132,35,25
132,373,99
132,150,317
133,68,1889
133,68,491
133,68,3388
134,315,793
134,315,1779
134,315,3273
135,444,3697
135,360,2383
135,148,194
136,42,1004
136,42,2495
136,42,931
137,148,308
137,150,265
137,150,464
139,150,682
139,355,1189
139,398,808
140,150,2921
140,174,372
140,174,581
141,204,1391
141,102,2552
141,204,1447
142,363,498
142,363,214
142,363,280
143,150,223
143,398,442
143,286,3045
144,46,1250
144,148,2561
144,373,321
145,395,4266
145,35,25
145,35,651
146,362,549
146,362,1306
146,362,264
147,373,804
147,435,208
147,42,1917
149,329,1585
149,319,817
149,360,1161
151,46,2949
151,225,1678
151,46,853
152,360,121
152,150,229
152,360,2701
153,35,257
153,35,4653
153,68,3512
154,35,3936
154,150,154
154,35,4781
155,360,1736
155,292,529
155,360,1794
156,360,2325
156,360,2783
156,416,53
157,363,704
157,148,91
157,363,78
158,187,983
158,150,67
158,150,1544
159,42,1687
159,373,3044
159,319,9
160,35,3540
160,174,2643
160,360,76
161,204,161
161,46,2336
161,204,3533
162,68,2171
162,68,4684
162,373,3057
163,183,529
163,183,3271
163,183,3165
164,174,457
164,363,115
164,416,902
165,435,990
165,416,721
165,416,3271
166,319,2467
166,183,1058
166,373,601
167,360,3131
167,360,1
167,187,4433
168,148,1772
168,148,1821
168,148,2638
169,286,2179
169,286,2228
169,102,95
170,360,964
170,398,442
170,360,469
171,292,3629
171,225,371
171,225,54
172,148,2146
172,148,306
172,148,434
175,148,1857
175,363,175
175,363,1163
176,363,715
176,363,561
176,46,4115
177,102,5
177,68,3486
177,68,730
178,102,555
178,102,947
178,102,339
179,35,66
179,444,557
179,116,427
180,102,2844
180,102,3221
180,102,750
181,204,2603
181,416,976
181,204,1941
182,24,263
182,24,2309
182,363,231
184,225,432
184,225,0
184,435,4224
185,416,251
185,416,127
185,416,3168
186,225,105
186,225,90
186,68,1547
188,150,2755
188,329,794
188,150,271
189,435,652
189,435,4671
189,435,3822
190,174,2318
190,174,1978
190,35,1978
191,286,316
191,42,703
191,42,482
192,68,122
192,68,2867
192,68,784
193,373,804
193,116,331
193,46,685
194,187,1534
194,150,154
194,148,1652
196,373,193
196,174,196
196,362,389
197,444,1725
197,360,25
197,444,2770
198,42,1396
198,35,1049
198,42,883
200,398,1757
200,398,1703
200,42,340
201,355,212
201,355,489
201,355,611
202,395,202
202,395,1497
202,395,298
205,373,218
205,373,372
205,373,191
206,187,615
206,444,669
206,444,379
207,183,264
207,362,519
207,35,214
208,435,147
208,174,305
208,444,1476
209,35,6
209,183,3541
209,35,760
210,46,133
210,148,2588
210,46,1525
211,398,332
211,398,5129
211,398,2305
212,355,368
212,360,179
212,225,1699
213,35,1978
213,148,977
213,35,4090
214,187,1645
214,187,4433
214,444,4953
215,225,1678
215,24,4310
215,225,2184
216,398,211
216,225,589
216,116,2376
217,24,4005
217,24,666
217,183,2554
218,398,1899
218,398,1550
218,398,1200
219,42,4505
219,42,4799
219,42,601
220,398,25
220,398,1496
220,398,1496
221,150,2921
221,398,2680
221,398,4106
222,355,1571
222,355,4982
222,355,4661
223,42,2273
223,286,48
223,42,1290
224,363,386
224,363,1370
224,363,4019
226,148,2738
226,329,3181
226,148,4775
227,444,1476
227,148,284
227,148,1516
228,46,2263
228,46,978
228,416,1263
229,360,152
229,360,247
229,225,1963
230,116,121
230,225,3894
230,395,2560
231,363,4019
231,363,1174
231,363,3388
232,395,1193
232,183,3617
232,183,313
233,329,1451
233,35,3649
233,329,542
234,416,228
234,416,3151
234,416,6
235,225,3013
235,225,815
235,225,445
236,355,625
236,355,567
236,35,4010
237,360,1714
237,42,1225
237,174,396
238,174,845
238,360,2440
238,330,4947
239,174,2543
239,24,678
239,42,1238
240,116,5011
240,204,792
240,204,1026
241,24,487
241,174,1188
241,174,4727
242,116,3052
242,116,2244
242,330,1077
243,150,553
243,150,942
243,150,2643
244,225,2175
244,68,3147
244,187,823
245,174,3071
245,42,1238
245,174,1569
246,174,465
246,435,38
246,286,865
247,360,12
247,116,975
247,204,2398
248,148,2195
248,42,333
248,68,4686
249,35,1889
249,102,2206
249,225,806
250,360,3423
250,330,532
250,330,2151
251,24,4051
251,355,139
251,24,2754
252,35,434
252,35,809
252,373,917
253,319,2608
253,292,1283
253,319,1750
254,286,3582
254,373,805
254,319,1884
255,102,334
255,102,502
255,102,124
256,373,3548
256,363,1261
256,286,476
257,373,628
257,35,698
257,35,649
258,435,189
258,398,2049
258,360,1818
259,292,3336
259,292,112
259,292,4411
260,435,725
260,435,3636
260,435,4103
261,24,1833
261,24,3746
261,24,3962
262,362,336
262,362,347
262,362,901
263,362,2141
263,24,637
263,362,2659
264,35,923
264,292,4756
264,35,3039
265,150,865
265,150,2358
265,42,505
266,330,1663
266,183,781
266,362,152
267,24,3553
267,24,3258
267,24,1212
268,329,542
268,35,549
268,329,2281
269,102,1513
269,102,2699
269,102,1521
270,102,107
270,102,1393
270,68,10
271,174,239
271,362,109
271,286,2667
273,102,2443
273,116,1126
273,102,228
274,315,82
274,315,590
274,315,649
275,68,489
275,68,450
275,68,162
276,225,4
276,225,550
276,150,188
277,362,2
277,362,266
277,319,1585
278,225,1471
278,315,3198
278,225,230
279,68,1348
279,68,2526
279,68,1103
280,187,2225
280,187,1675
280,395,105
281,68,3065
281,68,83
281,68,1514
283,330,540
283,395,359
283,330,3566
284,363,4018
284,148,2801
284,363,461
285,329,233
285,174,2027
285,329,2415
287,319,55
287,319,151
287,363,427
288,116,1395
288,204,742
288,204,3428
289,286,2974
289,150,1826
289,150,3067
290,102,1237
290,68,478
290,102,1623
291,150,223
291,292,2031
291,444,607
293,46,1616
293,46,1250
293,46,531
294,35,366
294,35,265
294,35,4051
295,362,1856
295,362,109
295,187,1534
297,24,837
297,416,1395
297,292,2359
298,355,1370
298,183,461
298,183,1781
299,444,1753
299,444,642
299,444,1153
300,360,34
300,150,3423
300,116,814
302,148,168
302,148,4433
302,24,3415
303,174,140
303,116,1818
303,174,2343
304,315,2151
304,315,1171
304,373,4266
305,46,2896
305,319,3535
305,319,519
306,148,530
306,46,5028
306,46,1471
307,373,1536
307,373,1536
307,416,610
308,148,335
308,148,674
308,24,1964
309,315,3166
309,315,133
309,315,1384
310,102,1393
310,225,3327
310,102,2443
311,35,779
311,35,166
311,35,2351
312,46,3360
312,35,593
312,46,936
313,395,4472
313,183,514
313,183,217
314,150,1394
314,183,43
314,150,152
316,286,1698
316,225,876
316,286,1779
317,102,835
317,150,1662
317,150,137
318,204,1982
318,46,352
318,46,433
320,35,4653
320,150,2533
320,329,874
321,373,423
321,150,2722
321,373,314
322,148,1459
322,148,168
322,148,3002
323,116,334
323,116,193
323,116,0
324,42,597
324,42,517
324,42,601
325,24,981
325,24,1136
325,24,2487
326,68,3643
326,68,623
326,68,5027
327,24,2231
327,24,1292
327,24,4051
328,330,1164
328,330,3641
328,330,51
331,116,91
331,373,4609
331,373,568
332,355,411
332,398,4106
332,398,365
333,42,5187
333,355,3874
333,355,824
334,355,2852
334,102,95
334,46,2649
335,148,84
335,435,706
335,187,2634
336,183,347
336,373,1001
336,362,725
338,68,1455
338,116,798
338,150,1099
339,116,1746
339,225,4661
339,46,2269
340,286,426
340,373,804
340,42,342
342,35,581
342,363,1228
342,42,649
343,24,601
343,42,621
343,42,4605
344,225,1914
344,362,2969
344,225,310
345,395,1813
345,286,1661
345,395,3039
346,42,4505
346,35,2133
346,35,4212
347,183,553
347,373,2934
347,183,3165
349,395,3237
349,395,727
349,395,845
350,46,2956
350,46,539
350,292,1697
351,116,417
351,416,1864
351,116,797
352,330,1449
352,395,751
352,35,3327
353,204,3428
353,225,2765
353,225,2663
354,35,4211
354,35,164
354,355,2852
356,330,1981
356,395,349
356,395,3399
357,363,3143
357,444,1306
357,187,1820
358,102,682
358,102,1392
358,102,334
359,362,1438
359,183,3448
359,395,490
361,46,133
361,46,151
361,46,2112
364,360,1885
364,42,2
364,360,73
365,398,1373
365,398,2348
365,398,3458
366,362,3961
366,35,100
366,373,3630
367,360,573
367,360,197
367,360,4627
368,355,3909
368,174,1004
368,363,760
369,416,2160
369,362,3505
369,416,18
370,373,28
370,35,115
370,373,218
371,46,3231
371,435,1848
371,435,992
372,395,816
372,373,4184
372,174,2310
374,150,143
374,150,1856
374,150,1780
375,204,493
375,116,2064
375,204,493
376,435,746
376,435,3660
376,435,70
377,225,4381
377,363,705
377,225,378
378,225,1162
378,398,200
378,398,597
379,355,650
379,444,85
379,444,3754
380,398,789
380,398,139
380,398,200
381,395,74
381,395,473
381,395,2886
382,174,1688
382,174,912
382,174,525
383,24,915
383,24,4592
383,24,525
384,116,1561
384,116,242
384,187,2389
385,150,2762
385,362,2
385,362,1856
386,150,714
386,435,112
386,329,4070
387,373,891
387,373,1549
387,42,745
388,329,529
388,329,2415
388,329,3112
389,183,2151
389,183,1043
389,183,1058
390,24,1849
390,24,4310
390,24,263
392,24,438
392,24,4122
392,24,547
394,46,784
394,46,1844
394,46,1961
396,360,1377
396,362,65
396,362,3728
397,68,1811
397,68,1469
397,174,2250
399,42,43
399,42,675
399,42,387
400,292,3336
400,292,297
400,360,1497
401,416,1329
401,416,1432
401,42,384
402,148,759
402,148,47
402,148,284
404,24,237
404,24,636
404,319,3218
405,435,1917
405,435,241
405,435,1957
406,363,4018
406,319,533
406,319,2518
408,174,463
408,174,1443
408,174,1248
409,444,642
409,148,2899
409,444,447
410,187,2880
410,373,2914
410,187,3719
411,35,2881
411,35,2754
411,35,4845
412,116,323
412,116,375
412,292,1648
413,102,1623
413,102,818
413,102,1248
414,24,3462
414,24,1292
414,24,1893
415,35,2127
415,35,1385
415,35,90
417,68,2837
417,444,2770
417,116,466
418,292,13
418,362,146
418,362,115
420,398,211
420,360,1137
420,398,5129
421,102,484
421,116,4528
421,373,77
422,42,2004
422,42,200
422,42,1321
423,286,1513
423,286,3294
423,286,1867
424,116,2085
424,102,1702
424,116,3328
426,286,2028
426,363,1618
426,292,2515
427,225,491
427,363,1304
427,363,214
428,148,70
428,35,4090
428,148,2752
429,42,334
429,148,2146
429,148,1863
431,102,2396
431,395,838
431,24,602
432,46,4495
432,225,890
432,46,1014
433,444,936
433,46,848
433,444,3536
434,329,526
434,435,1631
434,329,4070
437,355,236
437,68,711
437,68,789
438,24,965
438,24,4557
438,24,3918
439,435,405
439,435,4671
439,435,439
440,373,120
440,148,984
440,42,191
442,292,4042
442,360,320
442,292,3027
443,204,2173
443,150,2281
443,204,2086
445,315,751
445,102,2810
445,225,3611
446,373,2223
446,315,4911
446,315,1755
447,42,597
447,42,3928
447,42,251
448,330,532
448,35,524
448,373,1057
449,148,44
449,148,746
449,225,19
450,187,1938
450,68,2598
450,68,1765
451,315,1478
451,315,1245
451,315,926
452,355,598
452,355,580
452,355,3029
454,150,741
454,150,1581
454,150,464
455,225,0
455,225,55
455,225,3912
456,444,2347
456,416,2084
456,444,1167
457,174,1044
457,174,535
457,174,3702
458,355,2845
458,355,2991
458,355,3430
459,187,1834
459,187,132
459,187,695
460,225,216
460,225,234
460,225,1345
461,363,426
461,363,1691
461,183,1843
462,148,4339
462,148,1359
462,148,1505
463,102,2844
463,174,1900
463,102,36
464,360,469
464,150,158
464,150,1303
465,174,176
465,174,581
465,174,1351
466,183,781
466,183,3317
466,116,1447
468,68,1366
468,68,783
468,187,1900
469,363,1086
469,360,442
469,360,1161
470,225,1471
470,24,1153
470,24,744
471,174,1843
471,148,1333
471,35,581
472,24,2294
472,24,4005
