0,1,2,3,4
0,3002,435,1957,550
0,2354,46,305,1725
1,1774,435,1065,320
1,875,416,124,230
1,698,416,497,4087
2,1100,150,1851,949
2,860,102,592,0
3,1091,204,2049,1020
3,2407,174,1413,1039
4,234,416,902,1085
4,4312,187,615,108
5,1093,444,2999,4644
5,2055,102,3269,114
6,1866,174,2740,1054
6,385,362,1856,298
7,4472,395,3047,867
7,186,68,685,114
7,2618,319,519,2323
8,979,46,2411,2
8,761,330,1109,473
8,1111,68,1889,460
9,375,204,1376,1364
9,289,150,1598,846
10,1449,330,1314,352
11,2988,319,1566,396
11,507,363,578,2985
11,953,292,4634,263
12,2564,35,757,128
12,184,225,3707,138
13,1982,204,2080,2901
13,889,116,4371,1298
14,3632,24,3044,21
15,3882,150,157,142
15,479,174,1855,3732
16,47,35,1040,1669
16,915,24,4018,93
17,1265,68,2358,1348
17,769,46,1835,467
17,3170,360,4597,126
18,3057,373,1164,749
18,1693,174,1855,611
18,12,416,596,3457
19,695,187,1907,2878
19,754,444,125,242
20,2405,116,671,1812
21,1837,174,914,31
22,2518,319,1158,1587
22,2250,174,1940,1185
23,1843,330,1024,1050
23,383,24,4592,866
23,3097,24,903,969
25,358,102,445,3661
25,703,363,1277,4514
25,1496,398,5129,4803
26,2168,46,1700,612
26,3999,330,238,927
26,339,102,797,712
27,599,148,434,1463
27,1022,174,525,1787
28,1938,187,3013,7
28,121,150,865,1
29,3146,315,1172,2499
29,1651,46,595,877
30,1944,35,31,115
30,285,148,284,95
31,582,187,3719,756
31,2746,225,4768,378
31,51,46,928,140
32,798,116,1217,3093
32,798,150,584,3319
32,5136,329,794,26
33,115,363,2638,154
33,115,373,252,159
34,1238,42,474,1579
34,2925,148,2783,267
36,870,116,1376,2181
37,2564,35,3327,2190
37,736,150,1979,322
38,367,360,469,4557
38,1654,315,3303,590
39,5186,24,11,869
40,1339,187,4089,3483
40,3226,150,59,3761
41,627,148,213,2046
41,352,362,65,3037
43,1202,46,4560,1804
43,354,35,581,2445
44,1080,42,516,3926
44,619,329,592,900
44,3336,42,4213,463
45,3223,363,533,369
45,3258,24,3746,3655
45,2956,24,224,544
47,45,360,2651,1039
48,3984,46,3877,510
48,1755,315,495,224
48,490,183,2073,1657
49,673,116,3806,3592
49,1454,68,186,2859
49,3030,373,3535,1732
50,785,319,703,3677
50,65,187,1645,157
51,881,435,2953,2644
51,1395,416,902,1914
52,1750,319,1095,817
53,429,362,497,257
53,232,35,1421,626
53,523,42,4538,245
54,2667,395,298,2493
55,3002,435,658,384
55,1160,174,200,3089
56,478,373,3044,2060
56,336,286,3648,1006
56,533,183,987,4226
57,324,42,505,1182
58,1777,46,1218,925
58,903,24,3557,3489
58,346,35,836,4447
59,819,435,91,2235
59,408,174,581,1718
59,1049,42,429,1274
60,792,204,1591,104
60,1961,46,184,1065
61,21,292,34,572
61,94,360,749,220
61,2552,416,788,2408
62,1580,435,1055,460
63,1050,68,1897,36
63,211,355,2125,2588
63,235,225,748,432
64,212,355,2799,2638
64,115,35,1315,191
64,652,435,3847,43
65,1161,360,779,7
65,2632,183,478,3556
66,2214,46,4115,1458
66,1943,174,997,425
67,1885,360,3155,2219
67,135,148,3002,2509
67,399,42,3180,50
69,1643,398,4608,99
69,482,355,1189,2839
70,34,395,130,407
70,687,286,3757,1636
71,892,116,26,4695
71,824,355,1119,3194
71,972,398,0,3000
72,1827,315,1314,1130
72,485,398,1757,94
73,98,355,567,2444
73,639,362,1714,3369
74,298,355,3196,1772
74,130,330,4337,1521
75,307,286,1867,155
75,779,355,1119,1072
76,1235,35,16,984
76,4763,360,3155,29
76,110,42,1766,191
77,859,360,869,2492
77,2874,42,2088,1069
78,320,435,2500,179
78,159,373,1235,1947
78,400,292,4042,593
79,89,360,300,258
79,1343,416,3522,674
80,480,319,2645,291
80,793,319,1349,440
80,389,150,3882,125
81,791,46,2354,2033
81,791,46,318,1178
82,1641,319,152,52
82,828,435,13,1706
82,1978,35,1323,1213
83,51,46,133,697
83,3493,319,396,389
84,65,187,5022,101
84,179,444,207,347
84,418,362,222,2074
85,741,286,4397,1986
86,13,183,1889,1466
88,139,398,3710,3357
88,1220,68,1228,641
88,4045,187,3314,1535
89,1247,24,241,1118
89,553,183,1123,460
89,871,187,2304,504
90,112,225,90,2125
90,38,416,165,2454
90,666,319,37,2355
91,2023,204,4695,3
91,3360,46,2344,3313
91,1782,286,891,109
