0,1,2,3
0,2987,172,90
1,4577,490,2
2,1837,474,3720
3,1424,464,277
4,3117,233,4107
5,490,1826,2359
6,5028,423,1828
7,4454,1620,1702
8,2943,2715,3213
9,2021,961,1241
10,1339,3686,1088
11,2017,3840,653
12,3187,12,4300
13,1592,3474,2307
14,3922,2114,202
15,3418,1069,122
16,2643,589,768
17,732,3987,22
18,23,2345,4723
19,260,621,2362
20,5,3949,86
21,4951,1990,953
22,829,347,9
23,1925,422,344
25,332,567,63
26,4860,5156,1124
27,213,1757,30
28,2555,34,57
29,890,19,3527
30,1939,2728,4744
31,1761,1395,351
32,3200,1540,836
33,1223,1588,509
34,170,2893,509
36,1419,436,972
37,388,462,168
38,175,811,810
39,3849,3066,142
40,1252,1022,241
41,4825,2838,4278
43,2280,38,741
44,1456,1824,3861
45,619,754,3710
47,97,5034,1355
48,4076,335,57
49,2424,278,2617
50,2251,1283,2036
51,4032,2956,296
52,908,904,2541
53,2946,1903,3553
54,1050,1331,7
55,258,2659,2159
56,619,18,417
57,759,1914,82
58,1345,281,2913
59,89,512,336
60,2832,1524,2372
61,1387,3495,1185
62,16,446,897
63,3735,356,2097
64,2390,1027,1861
65,48,485,2495
66,828,2525,2045
67,636,4125,4341
69,1774,3040,3056
70,2214,98,1740
71,847,596,4954
72,2785,387,1228
73,280,19,730
74,3388,3388,765
75,2032,21,2228
76,4001,853,403
77,675,1588,79
78,2256,847,13
79,1013,2668,4125
80,1540,257,2959
81,2123,4294,2204
82,594,381,347
83,2545,2535,3616
84,418,1733,130
85,662,987,1008
86,55,1731,1205
87,3592,833,3750
88,1504,123,1022
89,2346,2408,3025
90,160,687,41
91,936,811,1309
92,585,3276,585
93,1375,512,103
94,3880,969,2407
95,2997,20,2573
96,880,2152,789
97,904,2811,2489
98,400,692,2521
99,2799,661,2830
100,38,1058,2988
101,782,3782,462
103,1014,788,2726
104,2367,1393,1858
105,1566,817,3802
106,817,2639,2416
107,1269,1126,3927
108,1580,175,2210
109,253,2466,698
110,1124,3444,149
111,5085,5,526
112,641,1306,2790
113,2015,239,5037
114,3497,761,4181
115,2651,2763,73
117,509,4821,1053
118,1630,577,2093
119,2739,1406,347
120,3079,1425,404
121,2909,612,2395
122,60,3244,122
123,4026,123,669
124,799,2565,2027
125,5138,3072,2292
126,196,105,788
127,542,1044,1601
128,405,1141,1153
129,2119,109,2084
130,229,2353,1382
131,2995,377,220
132,384,89,338
133,2812,1526,337
134,2689,528,2144
135,4334,3106,1545
136,404,3287,2226
137,517,3415,142
138,1002,406,839
139,110,1108,1978
140,1639,14,3653
141,797,1556,4958
142,516,1139,1333
143,457,260,1220
144,1536,78,121
145,4892,96,3174
146,2178,3132,67
147,1362,839,75
149,1836,4926,682
151,3641,72,2122
152,37,867,1462
153,4076,902,5
154,3223,1078,3258
155,3925,22,4141
156,1752,3108,1
157,690,781,273
158,1213,3238,44
159,366,2059,1300
160,115,317,83
161,1071,683,659
162,485,232,142
163,305,1479,554
164,21,3334,1357
165,1431,3674,1029
166,349,166,1008
167,1400,146,812
168,1286,593,158
169,442,1433,1184
170,125,48,2401
171,2995,385,1275
172,4493,239,4493
173,894,3699,282
175,302,335,3317
176,268,135,3792
177,2049,505,4430
178,2573,2810,39
179,2333,823,3001
180,1030,306,1358
181,3244,4387,910
182,2076,3216,533
184,1767,3358,3989
185,1556,2618,3
186,2781,522,4188
188,3632,62,3403
189,2372,337,19
190,98,687,264
191,2540,503,31
192,2758,996,946
193,2578,1051,2578
194,759,1263,231
195,671,556,3928
196,1914,1618,3280
197,1103,2594,399
198,2517,441,327
199,710,3416,3429
200,120,812,4141
201,338,3535,1105
202,421,60,178
203,1564,59,3115
205,3465,4469,30
206,424,921,694
207,92,345,169
208,675,1129,175
209,668,4717,2653
210,1202,522,1008
211,300,597,1268
212,3141,4208,1477
213,524,1769,3748
214,626,2146,96
215,1753,832,1045
216,1180,25,820
217,1583,469,1003
218,4662,1519,3961
219,270,2484,1298
220,742,4211,1
