N1,N2,N3
0,2887,1518
1,320,2165
2,1167,16
3,476,1764
4,1207,4069
5,3614,451
6,4308,189
7,929,3596
8,3410,2201
9,912,3704
10,409,240
11,587,738
12,788,1025
13,1706,3367
14,1684,911
15,96,3441
16,9,384
17,326,921
18,4148,1079
19,291,1813
20,2641,810
21,1609,227
22,2457,1098
23,1306,108
25,1138,824
26,2293,712
27,282,815
28,3155,2210
29,129,1476
30,2462,2837
31,117,1296
32,717,2996
33,3193,482
34,69,331
36,1986,1761
37,2452,525
38,846,1345
39,4370,181
40,1455,5184
41,621,1424
43,126,144
44,415,1823
45,801,107
47,307,3422
48,1607,4201
49,1447,881
50,1559,1971
51,1543,1376
52,4143,86
53,340,2934
54,3473,3117
55,1638,798
56,2841,350
57,5173,1370
58,388,69
59,456,5097
60,1700,204
61,47,108
62,3528,351
63,2890,118
64,5,668
65,1878,94
66,1411,2350
67,2348,567
69,1357,466
70,34,438
71,1397,153
72,401,347
73,2188,1843
74,594,955
75,1030,50
76,4506,2613
77,3736,811
78,317,247
79,197,2943
80,745,1949
81,1954,235
82,158,198
83,94,38
84,339,3585
85,1655,335
86,427,1358
87,2205,1322
88,76,566
89,1266,2101
90,551,213
91,293,2886
92,983,261
93,910,3226
94,1754,3040
95,1193,2488
96,1063,2545
97,2998,69
98,400,598
99,1216,210
100,1272,47
101,396,875
103,1167,244
104,451,1452
105,4782,1839
106,3106,1121
107,133,2949
108,4876,108
109,1665,105
110,665,2454
111,2146,4349
112,1274,9
113,1297,3530
114,229,1110
115,5177,3849
117,1584,26
118,1927,3622
119,1697,4078
120,2809,191
121,552,2153
122,4531,20
123,43,526
124,395,1299
125,379,4265
126,1420,22
127,1402,3695
128,2308,137
129,795,14
130,656,4
131,1318,3897
132,4933,1283
133,2775,1325
134,1458,3566
135,218,4468
136,2309,2736
137,4302,507
138,2574,668
139,1355,139
140,679,785
141,3984,3498
142,843,48
143,2525,2368
144,2959,4
145,99,3196
146,3300,850
147,3956,562
149,336,4843
151,2451,1431
152,2028,4384
153,1339,2321
154,4455,3618
155,3503,1727
156,1192,366
157,551,129
158,270,378
159,319,1166
160,2029,1177
161,2519,1403
162,820,233
163,106,1765
164,1900,1095
165,1464,395
166,1454,762
167,1144,2775
168,911,15
169,345,2210
170,34,471
171,211,1336
