N1,A,N2
0,1020,1717
0,806,1072
0,3016,920
1,102,334
1,601,17
1,532,22
2,4711,25
2,174,1424
2,1329,1484
3,398,67
3,1914,139
3,1703,23
4,905,1543
4,3630,575
4,736,3728
5,1128,2019
5,444,936
5,3915,3238
6,2977,456
6,1548,1432
6,448,574
7,1914,495
7,1098,1638
7,3718,4066
8,1271,14
8,1329,349
8,292,371
9,319,596
9,5118,74
9,1359,10
10,2680,3176
10,758,5173
10,373,3057
11,2772,171
11,2525,2696
11,373,2075
12,4586,2
12,1329,3419
12,116,240
13,758,4775
13,435,1053
13,183,543
14,4443,1328
14,982,1148
14,292,128
15,2679,634
15,1020,1578
15,1571,1862
16,866,627
16,866,33
16,1970,2056
17,540,73
17,444,3799
17,2905,1352
18,329,434
18,4855,53
18,4586,1488
19,2591,88
19,1914,2703
19,2591,3026
20,3352,44
20,1732,550
20,1732,656
21,292,4313
21,2104,682
21,943,966
22,3969,534
22,1833,1076
22,1833,2483
23,444,781
23,4855,53
23,1213,88
25,4711,232
25,3427,4765
25,532,2235
26,1819,0
26,3385,74
26,1077,1502
27,532,495
27,1914,117
27,532,83
28,3297,358
28,1116,1087
28,1116,1471
29,3505,250
29,1332,1404
29,2002,1897
30,4918,1516
30,758,103
30,812,128
31,977,98
31,1020,31
31,977,597
32,1518,275
32,691,1652
32,1746,394
33,46,334
33,977,1132
33,3969,593
34,812,1690
34,1767,523
34,1303,615
36,2399,1198
36,2768,490
36,1237,1393
37,1250,49
37,850,257
37,183,2156
38,5118,1048
38,150,59
38,416,38
39,3352,1482
39,3661,391
39,2679,1743
40,4911,3303
40,1833,817
40,1915,870
41,319,1714
41,2362,267
41,526,538
43,150,1979
43,329,497
43,355,300
44,1603,917
44,448,497
44,4550,1062
45,4233,5135
45,1972,2843
45,1972,1877
47,148,59
47,997,137
47,736,2149
48,435,4105
48,286,2643
48,4058,4684
49,2869,4447
49,3030,89
49,4711,2377
50,4331,1234
50,448,983
50,4331,1030
51,1229,290
51,102,178
51,568,186
52,319,1884
52,532,299
52,532,1066
