N1,A,N2
0,1441,1044
0,398,43
0,2825,3
1,532,623
1,360,1149
1,1892,1326
2,174,2738
2,42,3928
2,1303,352
3,204,1054
3,1085,794
3,1751,5144
4,579,48
4,556,1720
4,736,1235
5,1229,93
5,1164,19
5,758,43
6,373,5022
6,579,795
6,1868,234
7,3505,126
7,2680,1392
7,1024,3420
8,736,462
8,578,3940
8,2414,580
9,373,86
9,1920,1394
9,174,1355
10,1098,7
10,3151,848
10,1370,1027
11,2104,45
11,977,196
11,977,65
12,329,248
12,4586,624
12,1914,117
13,360,264
13,2358,111
13,3199,828
14,4550,4012
14,578,6
14,579,525
15,4192,531
15,1020,941
15,204,515
16,35,16
16,1548,439
16,1970,106
17,1603,127
17,866,16
17,2905,4991
18,1467,1328
18,1819,299
18,2977,1049
19,1098,19
19,1914,625
19,398,909
20,3766,1627
20,3983,1547
20,1020,1331
21,1359,369
21,997,163
21,1914,2939
22,24,1493
22,997,3071
22,532,300
23,4654,4522
23,329,2953
23,329,431
25,4550,1197
25,532,4632
25,398,442
26,1819,622
26,1186,907
26,693,1051
27,579,198
27,779,1065
27,2880,2773
28,1868,2231
28,982,172
28,187,2275
29,901,922
29,2002,1026
29,2319,509
30,758,1750
30,42,3754
30,905,20
31,150,2149
31,3297,282
31,3297,3410
32,1116,2172
32,1746,4608
32,1934,29
33,2679,508
33,5012,57
33,116,1696
34,292,2493
34,4451,4333
34,395,836
36,116,606
36,4258,2747
36,4258,1898
37,2877,521
37,901,1387
37,1400,167
38,435,170
38,435,258
38,355,342
39,5092,62
39,2406,2135
39,5092,1017
40,1851,127
40,2825,2701
40,4911,4912
41,1359,4842
41,416,103
41,532,4342
43,3199,607
43,183,3165
43,150,1813
44,363,72
44,448,233
44,943,56
45,2845,800
45,1441,1129
45,982,3470
47,997,4087
47,997,777
47,35,100
48,579,160
48,556,1791
48,758,249
49,921,4283
49,1250,162
49,204,2398
50,540,3395
50,373,3548
50,1751,12
51,46,424
51,2680,838
51,3556,1056
52,1467,2465
52,997,66
52,905,136
53,42,3728
53,3427,2519
53,601,1285
54,225,229
54,702,158
54,1970,1815
55,3630,475
55,1400,405
55,225,2650
56,4453,1298
56,1077,596
56,2634,56
57,3271,2072
57,901,856
57,3608,3525
58,753,467
58,753,6
58,2320,269
59,416,1281
59,1161,2428
59,416,875
60,1085,2412
60,1248,1506
60,579,1163
61,435,2813
61,579,2489
61,435,2239
62,1518,48
62,3868,1525
62,702,756
63,1915,90
63,1915,1307
63,2680,1392
64,762,1417
64,1353,600
64,3345,117
65,2881,3193
65,526,1550
65,977,1964
66,2281,2379
66,4562,359
66,292,2402
67,150,223
67,556,2965
67,736,2849
69,1914,796
69,1116,830
69,1914,796
70,3969,2274
70,977,1712
70,4416,160
71,1353,1572
71,888,122
71,1920,737
72,373,2934
72,1603,72
72,24,654
73,540,3233
73,943,21
73,943,1006
74,3388,310
74,3385,1314
74,1024,1152
75,1248,1069
75,779,748
75,779,451
76,116,1393
76,329,2365
76,1086,1140
77,5004,2831
77,736,2334
77,4550,48
78,2881,78
78,779,939
78,579,928
79,888,2354
79,225,3665
79,329,1306
80,3146,999
80,4654,114
80,2513,1479
81,1186,49
81,2745,2224
81,2745,477
82,4814,2833
82,578,3940
82,395,680
83,532,637
83,532,629
83,1819,131
84,815,2405
84,24,2369
84,579,2894
85,779,146
85,532,1385
85,1370,17
