0,1,2,3,4
651,11404,16346,17078,651
963,3345,13004,3555,963
963,15317,681,13919,963
1247,14057,5349,6857,1247
1443,15937,11457,15937,1443
1443,15937,3710,15937,1443
1924,5908,12135,5908,1924
2046,6902,11324,10511,2046
2123,3678,7874,12399,2123
2278,4647,18586,12092,2278
2442,10178,19086,5349,5956
2442,983,5349,88,9813
2442,14057,6857,12415,9813
2723,18642,16499,15045,2723
2723,4238,15045,2117,6302
4551,8958,5302,17460,4551
4551,5302,10424,10830,4551
4767,54,6796,54,13440
4767,7394,1202,7394,13440
4767,1563,10486,17327,13440
4891,152,18311,16495,4891
4891,16989,1225,16989,4891
5745,18833,18932,7183,5745
5745,7183,18833,10876,5745
5886,5243,2031,5243,5886
5956,10178,19623,19086,5956
5956,945,12415,14057,1247
6302,12349,5302,11878,4551
6302,15468,15731,15468,6302
6875,18310,17356,18310,6875
6875,18310,9970,18310,6875
6875,18310,14103,18310,6875
7485,5340,2474,5340,7485
7814,4897,9038,11733,7814
7814,8336,11733,10759,7814
7814,11733,8768,15335,7814
8102,5306,7866,5306,8102
8150,8565,16435,8565,8150
8150,8565,18564,8565,8150
8452,3300,18181,3300,8452
8452,3300,3904,3300,8452
8452,3300,18181,3300,8452
8659,4546,19400,4546,8659
8659,5921,9273,5921,8659
9744,9416,11957,9416,9744
9744,6200,19000,5810,12183
9744,6282,13554,6282,12183
9822,11731,10894,11731,9822
9822,11731,10894,11731,9822
9934,2028,5838,2028,9934
11058,9328,14987,9328,11058
11058,10449,4737,14341,11058
11252,2708,2523,2708,11252
11252,2708,2701,2708,11252
11388,7292,7183,6149,11388
11697,1107,12995,1107,11697
12183,7519,7107,6282,12183
12748,6684,3820,6684,12748
12748,6684,10276,6684,12748
12912,16958,11001,16958,12912
12912,9568,15088,9568,12912
13257,9993,19121,9993,13257
13257,9993,10374,9993,13257
13440,54,9739,2782,13440
13457,8045,10876,18932,11388
13457,951,342,951,13457
13533,1312,5229,1312,13533
13818,16499,158,5478,13818
13818,15045,2661,6389,13818
14393,4785,633,11131,14393
14393,1359,11131,7090,14393
14393,409,633,14039,14393
14430,12960,11413,12960,14430
14430,12960,3644,12960,14430
14962,11878,8958,10830,14962
15178,2295,63,2295,15178
15178,2295,9459,14622,15178
16342,354,2256,18812,16342
16342,18831,5958,9527,16342
16349,8572,17033,8572,16349
16349,8572,16350,8572,16349
16349,8572,17037,8572,16349
16786,11957,8827,11957,16786
16786,11957,4456,11957,16786
17423,7736,18144,15792,17423
17423,18144,3320,17835,17423
17423,17835,1886,17835,17423
19154,17023,5261,7401,19154
19154,18968,5261,6344,19154
19170,10857,7457,10857,19170
