0,1,2,3
30,12183,6200,7107
30,12183,6282,13353
30,12183,7519,6200
54,13440,9739,14459
54,13440,9321,54
54,4767,8076,7394
88,2442,5349,12415
88,1247,12415,88
88,1247,19623,19086
127,2046,3366,979
127,2046,3366,9943
127,2046,14514,4596
152,4891,16989,143
152,4891,16989,12256
152,4891,16495,6504
158,2723,1423,158
158,2723,15045,9409
158,13818,6389,6986
236,7485,236,3229
236,7485,13576,15925
236,7485,13576,10265
250,16342,1321,3093
250,16342,1482,609
250,16342,13143,2983
251,13440,9321,251
251,13440,4147,94
251,4767,9321,54
293,17423,4616,1565
293,17423,4173,8708
293,17423,4616,12077
337,14393,633,14039
337,14393,5387,18229
337,14393,1359,4785
339,963,6140,3345
339,963,2584,17649
339,963,4705,2891
353,14962,10424,353
353,14962,6716,5302
353,4551,16445,353
354,16342,12879,6673
354,16342,11895,16072
354,16342,10739,7317
357,5956,14057,18910
357,5956,6857,12415
357,5956,983,10178
409,14393,16245,409
409,14393,8052,13218
409,14393,337,14039
605,14430,12960,12019
605,14430,12960,10421
605,14430,17586,13280
633,14393,16245,4143
633,14393,4785,14039
633,14393,7090,16245
681,963,17466,13004
681,963,9389,9595
681,963,4212,14727
706,5654,706,15407
706,5654,17788,6652
706,5654,17788,11752
771,651,12963,14211
771,651,4559,13876
771,651,16247,4388
820,11099,16229,896
820,11099,11024,13400
820,11099,16771,11233
826,9813,88,15377
834,7814,8768,9025
834,7814,8950,2281
834,7814,834,15973
850,16342,1467,14277
850,16342,18812,10785
850,16342,6686,18558
856,651,13458,4388
856,651,4388,17796
856,651,13458,13011
858,7814,6201,9038
858,7814,10759,4897
858,7814,858,4332
901,14226,901,6019
901,14226,901,4034
901,14226,901,11094
937,7814,858,478
937,7814,5379,15293
937,7814,8950,35
945,9813,18970,18642
945,9813,7802,15484
945,5956,5349,12415
947,961,10033,2781
947,961,6174,4144
947,961,6174,11962
951,13457,10876,7292
951,13457,15923,18932
951,13457,1915,10375
979,2046,9978,19239
979,2046,979,1557
979,2046,979,127
983,1247,14057,10178
983,5956,19623,983
983,2442,14057,10178
1037,16342,11714,9527
1037,16342,10785,2845
1037,16342,14930,15420
1053,16342,11895,2179
1053,16342,2256,4644
1053,16342,10662,721
1107,11697,1107,6352
1107,11697,1107,12995
1107,11697,1107,6352
1229,2123,1439,7482
1229,2123,1229,19160
1229,2123,4961,7871
1312,13533,2708,8382
1312,13533,2708,19190
1312,13533,2708,8382
1321,16342,2983,1467
1321,16342,10739,609
1321,16342,6686,14277
1327,16327,12650,14893
1327,16327,12650,10850
1358,16327,10913,13725
1358,16327,17553,7356
1359,14393,8052,337
1359,14393,409,11131
1359,14393,4785,337
1394,1924,5908,13844
1394,1924,16747,7218
1394,1924,16747,5850
1423,2723,12619,158
