0,1,2
30,12183,6200
30,9744,5810
30,9744,7107
54,4767,9321
54,13440,1470
54,13440,1470
88,1247,6857
88,5956,6794
88,9813,14057
127,2046,11324
127,2046,15670
127,2046,5715
152,4891,152
152,4891,16989
152,4891,16495
158,2723,5478
158,13818,4238
158,2723,18642
236,7485,15045
236,7485,6899
236,7485,15356
250,16342,18812
250,16342,1482
250,16342,13143
251,13440,17327
251,4767,11313
251,4767,1470
293,17423,4455
293,17423,9519
293,17423,1761
337,14393,633
337,14393,337
337,14393,8052
339,963,3930
339,963,3555
339,963,11823
353,4551,17460
353,14962,6716
353,14962,11288
354,16342,12876
354,16342,1482
354,16342,4514
357,5956,357
357,5956,14057
357,5956,12415
409,14393,633
409,14393,7603
409,14393,1359
605,14430,15669
605,14430,6789
605,14430,605
633,14393,7090
633,14393,6572
633,14393,337
681,963,15317
681,963,2217
681,963,9057
706,5654,706
706,5654,706
706,5654,706
771,651,18598
771,651,12963
771,651,18598
820,11099,15942
820,11099,9657
820,11099,10063
826,9813,12415
826,9813,12415
826,9813,945
834,7814,4897
834,7814,11733
834,7814,937
850,16342,10739
850,16342,11895
850,16342,8862
856,651,14211
856,651,16247
856,651,17078
858,7814,8950
858,7814,4538
858,7814,858
901,14226,901
901,14226,901
901,14226,901
937,7814,858
937,7814,10759
937,7814,4538
945,9813,1832
945,1247,12437
945,1247,945
947,961,18624
947,961,5874
947,961,2411
951,13457,7608
951,13457,15923
951,13457,8045
979,2046,6902
979,2046,14514
979,2046,3366
983,5956,18572
983,1247,983
983,1247,5349
1037,16342,18812
1037,16342,17760
1037,16342,10441
1053,16342,250
1053,16342,1037
1053,16342,12876
1107,11697,1107
1107,11697,1107
1107,11697,1107
1229,2123,7559
1229,2123,4703
1229,2123,3124
1312,13533,2708
1312,13533,1312
1312,13533,1312
1321,16342,9527
1321,16342,9527
1321,16342,12879
1327,16327,6456
1327,16327,1358
1327,16327,6456
1358,16327,10913
1358,16327,7280
1358,16327,1358
1359,14393,7090
1359,14393,5387
1359,14393,8052
1394,1924,7842
1394,1924,5908
1394,1924,5908
1423,13818,158
1423,2723,1423
1423,2723,158
1439,2123,4961
1439,2123,9317
1439,2123,15117
1467,16342,6702
1467,16342,850
1467,16342,11895
1470,4767,8076
1470,4767,6796
1470,13440,11313
1482,16342,13143
1482,16342,11714
1482,16342,17059
1498,12183,19000
1498,12183,5849
1498,12183,7100
1528,9813,2931
1528,9813,9335
1528,9813,9406
1539,11099,11762
1539,11099,7576
1539,11099,1539
1563,13440,251
1563,4767,9739
1563,4767,8076
1587,15164,16866
1587,15164,1587
1587,15164,9627
1761,17423,18144
1761,17423,15792
1761,17423,4616
1832,9813,826
1832,9813,983
1832,9813,19623
1886,17423,7736
1886,17423,18144
1886,17423,3154
1915,11388,6149
1915,11388,1915
1915,13457,18932
1920,420,13527
1920,5745,1915
1920,5745,10876
1943,11058,19257
1943,11058,9328
1943,11058,11015
2028,9934,2028
2028,9934,2028
2028,9934,2028
2051,13457,7836
2051,13457,2051
2051,13457,10876
2098,2278,11751
2098,2278,17815
2098,2278,8998
2117,6302,18719
2117,6302,10265
2117,6302,15468
2196,963,681
2196,963,18967
2196,963,6140
2216,6302,13597
2216,6302,10265
2216,6302,15468
2217,963,2584
2217,963,10900
2217,963,681
2256,16342,4514
2256,16342,354
2256,16342,15189
2283,961,10033
2283,961,2411
2283,961,5518
2295,15178,2295
2295,15178,18453
2295,15178,18453
2365,6302,14454
2365,6302,4194
2365,6302,13597
2411,961,5123
2411,961,2283
2411,961,5874
2518,5956,983
2518,5956,357
2518,5956,2518
2534,9744,9416
2534,9744,6200
2534,9744,14834
2551,16327,1358
2551,16327,6456
2551,16327,1358
2552,11058,19257
2552,11058,2552
2552,11058,10449
2553,7485,2553
2553,7485,13963
2553,7485,236
2584,963,3555
2584,963,2584
2584,963,4212
2590,17423,7736
2590,17423,8120
2590,17423,17835
2600,11099,17723
2600,11099,2600
2600,11099,5880
2645,7485,6899
2645,7485,8668
2645,7485,8668
2661,2723,15045
2661,2723,5478
2661,2723,5478
2703,2278,10769
2703,2278,13529
2703,2278,2098
2708,13533,1312
2708,13533,1312
2708,13533,2708
2756,16349,2756
2756,16349,2756
2756,16349,8572
2781,961,2283
2781,961,5518
2781,961,2283
2782,13440,17327
2782,13440,4147
2782,4767,8076
2891,11388,2891
2891,11388,15923
2891,11388,7608
2931,9813,1832
2931,9813,826
2931,9813,2931
2983,16342,1321
2983,16342,10662
2983,16342,8862
3079,17423,1886
3079,17423,3079
3079,17423,18745
3124,2123,15117
3124,2123,7871
3124,2123,7559
3154,17423,9519
3154,17423,17835
3154,17423,13620
3231,1247,7802
3231,1247,5349
3231,1247,19086
3240,15640,3240
3240,15640,3240
3240,15640,3240
3279,963,8998
3279,963,8923
3279,963,3920
3296,2123,3296
3296,2123,7056
3296,2123,5525
3300,8452,3300
3300,8452,3300
3300,8452,3300
3312,961,10033
3312,961,6174
3312,961,17337
3320,17423,15568
3320,17423,9519
3320,17423,4173
3345,963,15317
3345,963,5968
3345,963,11823
3366,2046,19049
3366,2046,3366
3366,2046,6503
3425,5654,3425
3425,5654,706
3425,5654,3425
3517,13440,2782
3517,13440,7394
3517,13440,6796
3535,11099,16229
3535,11099,11024
3535,11099,9657
3555,963,16720
3555,963,16720
3555,963,17205
3678,2123,15117
3678,2123,15117
3678,2123,6885
3737,2123,7871
3737,2123,12399
3737,2123,7874
3920,963,17599
3920,963,5723
3920,963,3930
3930,963,3930
3930,963,13261
3930,963,3920
3992,7485,236
3992,7485,15356
3992,7485,3992
4147,13440,19010
4147,13440,19010
4147,13440,3517
4173,17423,18745
4173,17423,3154
4173,17423,9519
