0,1,2,3,4
5,1312,13533,2708,4799
15,4442,2046,9894,19049
15,17788,5654,706,3425
29,6794,5956,10178,19086
29,6794,5956,19086,88
30,13554,9744,1498,7519
30,19000,12183,7100,8170
30,5810,12183,7100,6200
34,16229,11099,16229,1783
34,16229,11099,11762,3665
38,17788,5654,706,12468
50,3079,17423,3079,2163
50,3079,17423,15792,237
50,3079,17423,17835,7736
52,5515,12183,7107,6200
52,5515,12183,5849,30
52,5515,12183,5849,8170
54,7394,13440,4147,14106
54,11313,13440,3517,6051
56,7056,2123,18769,17266
56,7056,2123,7871,3678
60,18831,16342,2983,12876
63,2295,15178,2295,5422
63,2295,15178,14622,1872
63,2295,15178,18791,5470
64,9993,13257,9993,19565
67,6174,961,947,2781
70,14622,15178,18453,14622
70,14622,15178,18453,3634
70,14622,15178,14622,12612
76,9061,6302,10265,16337
76,2590,17423,3320,15572
77,6686,16342,13143,518
83,15468,6302,18719,9083
88,945,5956,6794,11593
88,14057,1247,10178,14057
88,5349,1247,12415,6857
94,4147,13440,10486,251
94,4147,13440,8076,11313
94,4147,13440,9321,9739
102,15356,7485,15045,10919
112,12960,14430,12960,8153
118,10457,9744,11907,7585
118,10457,9744,11907,12143
127,5715,2046,5715,6902
127,10511,2046,4442,127
129,1761,17423,4455,1474
143,16989,4891,16495,5795
143,16989,4891,152,18311
151,7056,2123,3124,9689
151,7056,2123,7874,4961
151,7056,2123,5525,10887
152,16495,4891,16495,15652
158,18970,13818,16499,18970
158,6986,2723,6273,17634
158,18642,13818,5478,6986
173,2891,11388,2891,2753
207,11637,11291,11637,5783
207,11637,11291,16633,14255
207,11637,11291,11637,14030
235,6794,5956,10178,12415
241,357,5956,19086,5353
241,357,5956,19623,14057
241,357,5956,6794,13995
248,11015,11058,13599,1943
248,11015,11058,17414,7632
248,11015,11058,15338,9328
250,2256,16342,10441,2858
250,12879,16342,14930,15420
251,1470,13440,9739,54
251,1470,4767,17327,251
251,11313,4767,1470,9739
265,19257,11058,4737,7632
282,11823,963,13004,3555
332,15189,16342,4422,4164
337,14039,14393,337,2114
337,7090,14393,5387,337
338,1312,13533,2708,17481
338,1312,13533,1312,14812
342,951,13457,7608,7183
342,951,13457,18833,3576
342,951,13457,7836,18511
353,6716,4551,17460,5458
353,17460,4551,10830,16965
353,11878,14962,11878,6716
354,11714,16342,18812,862
354,18831,16342,6702,609
354,1053,16342,354,5958
364,1920,420,13527,8599
364,1920,420,1920,18594
364,1920,420,13527,1058
369,3517,13440,4147,7401
369,3517,13440,1470,10486
369,3517,13440,3517,4810
374,4455,17423,18144,17539
374,4455,17423,1761,18144
409,1359,14393,18229,14039
416,6174,961,10033,2411
438,9978,2046,6902,19049
438,9978,2046,4596,14514
438,9978,2046,10511,6503
447,3124,2123,18769,3142
447,3124,2123,1439,11024
447,3124,2123,1229,19160
452,6684,12748,6684,6411
452,6684,12748,6684,16485
453,4514,16342,15189,17054
453,4514,16342,12879,17454
456,13527,420,13527,456
456,13527,420,1920,10682
456,13527,420,13527,1058
470,4147,13440,10486,7394
470,4147,13440,2782,9321
472,18035,2442,983,14057
472,18035,2442,10178,88
484,3517,13440,1563,54
484,3517,13440,1470,11313
484,3517,13440,54,17327
502,9568,12912,15096,5871
502,9568,12912,16958,10314
506,15823,13818,18970,1439
506,15823,13818,158,16499
506,15823,13818,158,14234
509,10857,19170,4929,6949
528,4194,6302,11275,10265
542,1037,16342,1053,18831
546,605,14430,6789,16415
547,3296,2123,3296,1439
574,11024,11099,1539,4221
582,7603,14393,337,10748
604,18453,15178,2295,5422
604,14622,15178,2295,9549
604,18453,15178,18453,8950
609,6702,16342,1321,5364
609,12876,16342,13143,6702
610,5515,12183,13554,10875
610,5515,12183,6200,5849
610,5515,12183,5515,5051
616,7871,2123,6885,5525
624,4388,651,11404,12963
630,13529,2278,2703,11699
630,13529,2278,13529,18929
630,6149,13457,6149,17819
633,337,14393,8052,13218
633,7603,14393,16245,1359
633,7603,14393,14039,1359
681,17466,963,13004,17590
681,3555,963,17466,681
681,3345,963,16720,11177
699,8668,7485,3992,14373
699,18832,6302,18744,6120
706,3425,5654,17788,4624
720,17767,4551,10830,19433
721,1467,16342,354,9527
723,18745,17423,3154,1729
723,18745,17423,9742,17539
723,18745,17423,15568,9742
729,2708,11252,2708,12453
753,1761,17423,18745,12972
761,5243,5886,5243,18898
761,5243,5886,5243,18606
771,13458,651,16346,4388
771,15596,651,16247,11404
771,15596,651,771,13458
772,15993,2278,15993,2069
772,2703,2278,17815,831
772,2703,2278,10769,14534
781,11895,16342,4422,5527
781,11895,16342,9673,2256
781,11895,16342,10739,18760
